create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,5248,b9996e74-8553-46d6-b98f-772729c33d83.binning_data.json,2670304,6000,,65,2018-03-23 04:07:40.933,com.sec.android.app.shealth,2018-03-22 11:54:59.143,b9996e74-8553-46d6-b98f-772729c33d83.source_info.json,1.5384463,4108.12,189.34,5183,VfS0qUERdZ,com.sec.android.app.shealth,0,b9996e74-8553-46d6-b98f-772729c33d83.achievement.json,b9996e74-8553-46d6-b98f-772729c33d83,1521676800000,
,5248,52504179-c79e-401a-b362-72356b33eb56.binning_data.json,2670247,6000,,65,2018-03-23 05:00:10.539,com.sec.android.app.shealth,2018-03-23 05:00:10.539,,3.5277777,4108.12,189.34,5183,vUHbrX3Rww,com.sec.android.app.shealth,0,52504179-c79e-401a-b362-72356b33eb56.achievement.json,52504179-c79e-401a-b362-72356b33eb56,1521676800000,
,9320,797d9ef4-a929-4fcf-8311-f843afe4d286.binning_data.json,4206891,6000,,3311,2018-03-24 01:14:59.425,com.sec.android.app.shealth,2018-03-23 10:37:27.760,797d9ef4-a929-4fcf-8311-f843afe4d286.source_info.json,1.9901062,8372.16,464.38998,6009,VfS0qUERdZ,com.sec.android.app.shealth,0,797d9ef4-a929-4fcf-8311-f843afe4d286.achievement.json,797d9ef4-a929-4fcf-8311-f843afe4d286,1521763200000,
,9320,30b44268-d323-49e7-aa0f-8d713817f6ca.binning_data.json,4206835,6000,,3311,2018-03-24 05:02:11.654,com.sec.android.app.shealth,2018-03-24 05:02:11.654,,3.790169,8372.16,464.38998,6009,vUHbrX3Rww,com.sec.android.app.shealth,1757,30b44268-d323-49e7-aa0f-8d713817f6ca.achievement.json,30b44268-d323-49e7-aa0f-8d713817f6ca,1521763200000,
,1678,022018e0-96b0-4515-813a-b0554f13d394.binning_data.json,870471,6000,,11,2018-03-25 01:35:05.059,com.sec.android.app.shealth,2018-03-24 06:42:21.784,022018e0-96b0-4515-813a-b0554f13d394.source_info.json,1.4867576,1294.18,63.05,1667,VfS0qUERdZ,com.sec.android.app.shealth,0,022018e0-96b0-4515-813a-b0554f13d394.achievement.json,022018e0-96b0-4515-813a-b0554f13d394,1521849600000,
,1678,f241d833-0bb9-47a2-9de8-2e94ee0bd5fb.binning_data.json,870451,6000,,11,2018-03-25 05:00:30.119,com.sec.android.app.shealth,2018-03-25 05:00:30.119,,2.5277774,1294.18,63.05,1667,vUHbrX3Rww,com.sec.android.app.shealth,0,f241d833-0bb9-47a2-9de8-2e94ee0bd5fb.achievement.json,f241d833-0bb9-47a2-9de8-2e94ee0bd5fb,1521849600000,
,4442,679561fd-192d-4737-9e70-f8a271eee4dc.binning_data.json,2204985,6000,,60,2018-03-26 04:45:08.390,com.sec.android.app.shealth,2018-03-25 08:23:21.199,679561fd-192d-4737-9e70-f8a271eee4dc.source_info.json,1.5929674,3512.47,163.86,4382,VfS0qUERdZ,com.sec.android.app.shealth,0,679561fd-192d-4737-9e70-f8a271eee4dc.achievement.json,679561fd-192d-4737-9e70-f8a271eee4dc,1521936000000,
,4442,79fda731-5a91-450c-a07f-e3e773a94b81.binning_data.json,2204931,6000,,60,2018-03-26 05:00:30.203,com.sec.android.app.shealth,2018-03-26 05:00:30.203,,3.4722223,3512.47,163.86,4382,vUHbrX3Rww,com.sec.android.app.shealth,0,79fda731-5a91-450c-a07f-e3e773a94b81.achievement.json,79fda731-5a91-450c-a07f-e3e773a94b81,1521936000000,
,6002,53a2a24e-806d-484d-89da-cd40c8e270c1.binning_data.json,3002988,6000,,47,2018-03-27 03:18:14.186,com.sec.android.app.shealth,2018-03-26 10:34:58.068,53a2a24e-806d-484d-89da-cd40c8e270c1.source_info.json,1.5586836,4680.71,205.31999,5955,VfS0qUERdZ,com.sec.android.app.shealth,0,53a2a24e-806d-484d-89da-cd40c8e270c1.achievement.json,53a2a24e-806d-484d-89da-cd40c8e270c1,1522022400000,
,6002,3b8d35af-f347-4db9-abcf-b889cf01cc5a.binning_data.json,3002929,6000,,47,2018-03-27 05:02:03.325,com.sec.android.app.shealth,2018-03-27 05:02:03.325,,2.1666665,4680.71,205.31999,5955,vUHbrX3Rww,com.sec.android.app.shealth,0,3b8d35af-f347-4db9-abcf-b889cf01cc5a.achievement.json,3b8d35af-f347-4db9-abcf-b889cf01cc5a,1522022400000,
